article_title,article_quality,revision_id,country,population,region
Davood Moradian,Stub,1106284627,Afghanistan,41.1,SOUTH ASIA
Zalmai Mujadidi,Start,1104635001,Afghanistan,41.1,SOUTH ASIA
Fazal Haq Mujahid,C,1113267490,Afghanistan,41.1,SOUTH ASIA
Rahmatullah Nabil,Start,1112496538,Afghanistan,41.1,SOUTH ASIA
Sardar Mohammad Nadir Naeem,Stub,1038680015,Afghanistan,41.1,SOUTH ASIA
Daoud Naji,Start,1110983467,Afghanistan,41.1,SOUTH ASIA
Gholam Rabani Nasher,Stub,916899472,Afghanistan,41.1,SOUTH ASIA
Muhammad Yunus Nawandish,C,1111494390,Afghanistan,41.1,SOUTH ASIA
Ali Maisam Nazary,Start,1107279930,Afghanistan,41.1,SOUTH ASIA
Ghulam Faroq Nijrabi,Stub,1093612575,Afghanistan,41.1,SOUTH ASIA
Zabih-U-llah Ghazi Noristani,Start,1001786762,Afghanistan,41.1,SOUTH ASIA
Mohammed Tahir Omar,Stub,996093541,Afghanistan,41.1,SOUTH ASIA
Nasrin Oryakhil,Start,1097277701,Afghanistan,41.1,SOUTH ASIA
Murad Quenili,Stub,1093963498,Afghanistan,41.1,SOUTH ASIA
Ghulam Mohammad Rigi,Stub,918256992,Afghanistan,41.1,SOUTH ASIA
Ghulam Hassan Safi,Stub,987269301,Afghanistan,41.1,SOUTH ASIA
Hanifa Safi,Stub,994195074,Afghanistan,41.1,SOUTH ASIA
Amrullah Saleh,FA,1115022704,Afghanistan,41.1,SOUTH ASIA
Mohammed Zia Salehi,Stub,889806024,Afghanistan,41.1,SOUTH ASIA
Abdul Majid Samim,Stub,1098092701,Afghanistan,41.1,SOUTH ASIA
Saber Sangar,Stub,1019860497,Afghanistan,41.1,SOUTH ASIA
Muhammad Arif Sarwari,Start,1079170926,Afghanistan,41.1,SOUTH ASIA
Sayed Nasim Mihanparast,Stub,1115496635,Afghanistan,41.1,SOUTH ASIA
Sayyid Husayn,Stub,1095559301,Afghanistan,41.1,SOUTH ASIA
Suhail Shaheen,Start,1102910228,Afghanistan,41.1,SOUTH ASIA
Mohammad Shakir Kargar,C,1096574840,Afghanistan,41.1,SOUTH ASIA
Baktash Siawash,Stub,1111917754,Afghanistan,41.1,SOUTH ASIA
Awtar Singh,Stub,1115100619,Afghanistan,41.1,SOUTH ASIA
Hasan Ali Sultani,Stub,1060706902,Afghanistan,41.1,SOUTH ASIA
Faramarz Tamanna,C,1106885861,Afghanistan,41.1,SOUTH ASIA
Mohammad Hashem Taufiqui,Start,1021308429,Afghanistan,41.1,SOUTH ASIA
Nur ul-Haq Ulumi,GA,1107429109,Afghanistan,41.1,SOUTH ASIA
Pacha Gul Wafadar,Stub,1020846299,Afghanistan,41.1,SOUTH ASIA
Wahidullah Waissi,C,1111508295,Afghanistan,41.1,SOUTH ASIA
Gul Ahmmad Yama,Start,1060707715,Afghanistan,41.1,SOUTH ASIA
Al-Haj Suliman Yari,Stub,1092426408,Afghanistan,41.1,SOUTH ASIA
Abdul Salam Zaeef,GA,1106388504,Afghanistan,41.1,SOUTH ASIA
Abdul Zahir (Konar Education Minister),Stub,1097261199,Afghanistan,41.1,SOUTH ASIA
Mohammed Zaman,Start,1108389318,Afghanistan,41.1,SOUTH ASIA
Ziauddin (Afghan militia leader),Start,1095799892,Afghanistan,41.1,SOUTH ASIA
Qari Ziauddin,Start,1033608758,Afghanistan,41.1,SOUTH ASIA
Abdul Ghafor Zori,Stub,994023417,Afghanistan,41.1,SOUTH ASIA
Ali Pasha of Gusinje,GA,1114426634,Albania,2.8,SOUTHERN EUROPE
Ylli Asllani,Start,949182924,Albania,2.8,SOUTHERN EUROPE
Azis Tahir Ajdonati,Stub,994501003,Albania,2.8,SOUTHERN EUROPE
Bislim Bajgora,Start,1091800566,Albania,2.8,SOUTHERN EUROPE
Kastriot Berissa,Start,1094050369,Albania,2.8,SOUTHERN EUROPE
Bardhok Biba,C,1110580984,Albania,2.8,SOUTHERN EUROPE
Dervish Biçaku,Stub,1106794267,Albania,2.8,SOUTHERN EUROPE
Kostandin Boshnjaku,C,1107876476,Albania,2.8,SOUTHERN EUROPE
Spartak Braho,Start,1098235893,Albania,2.8,SOUTHERN EUROPE
Safet Butka,C,1067080697,Albania,2.8,SOUTHERN EUROPE
Uran Butka,Start,1087272778,Albania,2.8,SOUTHERN EUROPE
Refo Çapari,Start,1061419179,Albania,2.8,SOUTHERN EUROPE
Neritan Ceka,Start,1095178618,Albania,2.8,SOUTHERN EUROPE
Hysni Curri,Start,1114418989,Albania,2.8,SOUTHERN EUROPE
Ibrahim Dalliu,Start,1087026828,Albania,2.8,SOUTHERN EUROPE
